"","HGNC_ID","MGI_ID","IMPC_adult_viability","IMPC_embryo_viability","Avana_mean","Avana_mean_045","IMPC_Viability","adHOM_top_level_mp_name","adHEMI_top_level_mp_name","Viable_Phenotypes_updated","FUSIL_outliers","FUSIL"
"14","HGNC:10075","MGI:1915147","Lethal","Lethal_E12.5","-0.906059691","Essential","Lethal","mortality/aging","-","-","CL","CL"
"15","HGNC:1020","MGI:1914071","Lethal","Lethal_E9.5","-0.47260469","Essential","Lethal","mortality/aging","-","-","CL","CL"
"16","HGNC:10251","MGI:107927","Subviable","InsuffData/NoData","-0.12709158","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"17","HGNC:10258","MGI:104661","Subviable","InsuffData/NoData","0.008963683","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"18","HGNC:10289","MGI:1915525","Lethal","Lethal_E9.5","-1.196146493","Essential","Lethal","mortality/aging","-","-","CL","CL"
"19","HGNC:1029","MGI:88144","Viable","InsuffData/NoData","0.086655232","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"20","HGNC:10297","MGI:103254","Lethal","InsuffData/NoData","-0.4087978","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"21","HGNC:103","MGI:2151054","Lethal","InsuffData/NoData","-0.067351273","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"22","HGNC:10322","MGI:1196612","Conflicting: Lethal | Viable","Viable_E18.5","-0.409019366","-","Other","mortality/aging|skeleton phenotype","-","-","-","-"
"23","HGNC:10336","MGI:98038","Viable","InsuffData/NoData","-1.145222592","Essential","Viable","hematopoietic system phenotype","-","Viable_phenotype","VP.outlier","-"
"24","HGNC:1034","MGI:1891828","Lethal","InsuffData/NoData","-0.209671399","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"25","HGNC:1036","MGI:1338017","Viable","InsuffData/NoData","-","-","Viable","immune system phenotype|integument phenotype|hematopoietic system phenotype|behavior/neurological phenotype|pigmentation phenotype|growth/size/body region phenotype","vision/eye phenotype|behavior/neurological phenotype","Viable_phenotype","-","-"
"26","HGNC:1037","MGI:105975","Viable","InsuffData/NoData","-0.240428307","Non-essential","Viable","cardiovascular system phenotype|renal/urinary system phenotype|behavior/neurological phenotype|reproductive system phenotype|homeostasis/metabolism phenotype|endocrine/exocrine gland phenotype|hematopoietic system phenotype","-","Viable_phenotype","VP","VP"
"27","HGNC:10378","MGI:1926273","Lethal","InsuffData/NoData","-0.681544606","Essential","Lethal","mortality/aging","-","-","CL","CL"
"28","HGNC:10379","MGI:2137204","Lethal","InsuffData/NoData","-0.474707033","Essential","Lethal","mortality/aging","-","-","CL","CL"
"29","HGNC:10382","MGI:98085","Lethal","InsuffData/NoData","-0.752296218","Essential","Lethal","mortality/aging","-","-","CL","CL"
"30","HGNC:10385","MGI:98105","Lethal","InsuffData/NoData","-0.89970613","Essential","Lethal","mortality/aging","-","-","CL","CL"
"31","HGNC:10414","MGI:1351628","Viable","InsuffData/NoData","-0.229369095","Non-essential","Viable","behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"32","HGNC:10430","MGI:104558","Viable","InsuffData/NoData","-0.196490518","Non-essential","Viable","behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"33","HGNC:10439","MGI:2443419","Viable","InsuffData/NoData","-0.110008926","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"34","HGNC:1044","MGI:88158","Viable","InsuffData/NoData","-","-","Viable","growth/size/body region phenotype","-","Viable_phenotype","-","-"
"35","HGNC:10446","MGI:1930943","Viable","InsuffData/NoData","-0.236537131","Non-essential","Viable","cardiovascular system phenotype|homeostasis/metabolism phenotype","-","Viable_phenotype","VP","VP"
"36","HGNC:10447","MGI:98179","Viable","InsuffData/NoData","-0.107888616","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"37","HGNC:10451","MGI:98180","Subviable","InsuffData/NoData","-1.338642824","Essential","Subviable","mortality/aging","-","-","SV.outlier","-"
"38","HGNC:10452","MGI:98181","Lethal","Lethal_E9.5","-1.489229116","Essential","Lethal","mortality/aging","-","-","CL","CL"
"39","HGNC:1046","MGI:1097714","Viable","InsuffData/NoData","0.130924421","Non-essential","Viable","adipose tissue phenotype|immune system phenotype|skeleton phenotype|homeostasis/metabolism phenotype|hematopoietic system phenotype|growth/size/body region phenotype","-","Viable_phenotype","VP","VP"
"40","HGNC:10467","MGI:1933947","Viable","InsuffData/NoData","-0.007917142","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"41","HGNC:1047","MGI:1339972","Viable","InsuffData/NoData","-0.037997129","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"42","HGNC:10473","MGI:102672","Lethal","Viable_E18.5","-0.104781226","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"43","HGNC:10483","MGI:99659","Lethal","Viable_E18.5","-0.209512019","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"44","HGNC:10484","MGI:99685","Lethal","InsuffData/NoData","-0.057010805","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"45","HGNC:1049","MGI:1101760","Viable","InsuffData/NoData","-0.153434876","Non-essential","Viable","growth/size/body region phenotype|homeostasis/metabolism phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"46","HGNC:10496","MGI:1339467","Subviable","InsuffData/NoData","-0.088021244","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"47","HGNC:10500","MGI:98217","Viable","InsuffData/NoData","0.143693729","Non-essential","Viable","hematopoietic system phenotype|homeostasis/metabolism phenotype","-","Viable_phenotype","VP","VP"
"48","HGNC:10519","MGI:1354724","Viable","InsuffData/NoData","-0.045592659","Non-essential","Viable","hematopoietic system phenotype|reproductive system phenotype|immune system phenotype|skeleton phenotype","-","Viable_phenotype","VP","VP"
"49","HGNC:10521","MGI:98227","Viable","InsuffData/NoData","0.008242424","Non-essential","Viable","homeostasis/metabolism phenotype","-","Viable_phenotype","VP","VP"
"50","HGNC:1053","MGI:3611448","Viable","InsuffData/NoData","-0.121968714","Non-essential","Viable","hematopoietic system phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"51","HGNC:10530","MGI:1277978","Lethal","InsuffData/NoData","-1.017723146","Essential","Lethal","mortality/aging","-","-","CL","CL"
"52","HGNC:10535","MGI:1913647","Lethal","InsuffData/NoData","0.026736705","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"53","HGNC:10537","MGI:102809","Lethal","Lethal_E9.5","-1.542777664","Essential","Lethal","mortality/aging","-","-","CL","CL"
"54","HGNC:10538","MGI:1309453","Lethal","InsuffData/NoData","-0.81125366","Essential","Lethal","mortality/aging","-","-","CL","CL"
"55","HGNC:10541","MGI:105084","Conflicting: Lethal | Subviable","InsuffData/NoData","-0.089214041","-","Other","mortality/aging","-","-","-","-"
"56","HGNC:10549","MGI:1859293","Lethal","Lethal_E9.5","-0.259991783","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"57","HGNC:10564","MGI:1346518","Viable","InsuffData/NoData","0.040026422","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"58","HGNC:10569","MGI:2683295","Viable","InsuffData/NoData","0.129100195","Non-essential","Viable","reproductive system phenotype|endocrine/exocrine gland phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"59","HGNC:10575","MGI:103033","Viable","InsuffData/NoData","-0.067721421","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"60","HGNC:10589","MGI:106921","Viable","InsuffData/NoData","0.106191309","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"61","HGNC:10591","MGI:98250","Lethal","InsuffData/NoData","0.00155858","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"62","HGNC:10592","MGI:2687406","Viable","InsuffData/NoData","-0.011407917","Non-essential","Viable","behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"63","HGNC:10600","MGI:104696","Lethal","InsuffData/NoData","0.010354215","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"64","HGNC:10603","MGI:106362","Lethal","InsuffData/NoData","-0.297539612","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"65","HGNC:10621","MGI:1306779","Subviable","InsuffData/NoData","0.155203438","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"66","HGNC:10625","MGI:3589281","Viable","InsuffData/NoData","-0.156836925","Non-essential","Viable","homeostasis/metabolism phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"67","HGNC:1063","MGI:2385271","Viable","InsuffData/NoData","0.048237316","Non-essential","Viable","hearing/vestibular/ear phenotype|homeostasis/metabolism phenotype","-","Viable_phenotype","VP","VP"
"68","HGNC:10647","MGI:1097153","Viable","InsuffData/NoData","0.141181123","Non-essential","Viable","behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"69","HGNC:10648","MGI:102774","Viable","InsuffData/NoData","-0.086444605","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"70","HGNC:10659","MGI:1349165","Viable","InsuffData/NoData","0.009179141","Non-essential","Viable","vision/eye phenotype|integument phenotype|hematopoietic system phenotype|homeostasis/metabolism phenotype|pigmentation phenotype","-","Viable_phenotype","VP","VP"
"71","HGNC:1066","MGI:88174","Subviable","InsuffData/NoData","0.125008103","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"72","HGNC:10661","MGI:1349164","Viable","InsuffData/NoData","-0.078192161","Non-essential","Viable","hematopoietic system phenotype|homeostasis/metabolism phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"73","HGNC:10663","MGI:1918305","Lethal","Viable_E18.5","-0.344247694","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"74","HGNC:10664","MGI:1914535","Subviable","InsuffData/NoData","0.04399872","Non-essential","Subviable","mortality/aging|reproductive system phenotype","-","-","SV","SV"
"75","HGNC:10666","MGI:1860093","Viable","InsuffData/NoData","0.031525504","Non-essential","Viable","limbs/digits/tail phenotype|skeleton phenotype|behavior/neurological phenotype|nervous system phenotype|hematopoietic system phenotype","-","Viable_phenotype","VP","VP"
"76","HGNC:10672","MGI:103556","Lethal","InsuffData/NoData","-0.135783432","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"77","HGNC:10676","MGI:2149842","Viable","InsuffData/NoData","-0.299170719","Non-essential","Viable","behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"78","HGNC:10680","MGI:1914195","Lethal","Lethal_E9.5","-0.425041871","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"79","HGNC:10681","MGI:1914930","Lethal","InsuffData/NoData","-0.479058994","Essential","Lethal","mortality/aging","-","-","CL","CL"
"80","HGNC:10682","MGI:1913302","Lethal","Lethal_E12.5","-0.577614495","Essential","Lethal","mortality/aging","-","-","CL","CL"
"81","HGNC:10698","MGI:1921386","Viable","InsuffData/NoData","0.017472468","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"82","HGNC:10700","MGI:1338759","Lethal","InsuffData/NoData","-","-","Lethal","mortality/aging","-","-","-","-"
"83","HGNC:10703","MGI:1924621","Viable","InsuffData/NoData","-0.196558858","Non-essential","Viable","homeostasis/metabolism phenotype|growth/size/body region phenotype|adipose tissue phenotype","-","Viable_phenotype","VP","VP"
"84","HGNC:10706","MGI:1916858","Lethal","InsuffData/NoData","0.114752937","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"85","HGNC:1071","MGI:88180","Lethal","Lethal_E12.5","0.043118678","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"86","HGNC:10717","MGI:1329016","Lethal","InsuffData/NoData","0.046052933","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"87","HGNC:10720","MGI:98279","Viable","InsuffData/NoData","0.035989901","Non-essential","Viable","hematopoietic system phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"88","HGNC:10728","MGI:1096347","Subviable","InsuffData/NoData","-0.255599431","Non-essential","Subviable","adipose tissue phenotype|vision/eye phenotype|mortality/aging|integument phenotype|skeleton phenotype|behavior/neurological phenotype|homeostasis/metabolism phenotype|growth/size/body region phenotype","-","-","SV","SV"
"89","HGNC:10732","MGI:109244","Viable","InsuffData/NoData","0.023517645","Non-essential","Viable","cardiovascular system phenotype|behavior/neurological phenotype|homeostasis/metabolism phenotype|hematopoietic system phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"90","HGNC:10738","MGI:1203727","Subviable","InsuffData/NoData","0.03050598","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"91","HGNC:10750","MGI:1345148","Subviable","InsuffData/NoData","0.014183535","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"92","HGNC:10752","MGI:1100878","Viable","InsuffData/NoData","-0.23941427","Non-essential","Viable","hematopoietic system phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"93","HGNC:10761","MGI:1934229","Lethal","InsuffData/NoData","-0.510305557","Essential","Lethal","mortality/aging","-","-","CL","CL"
"94","HGNC:10762","MGI:1921979","Viable","InsuffData/NoData","0.037820459","Non-essential","Viable","growth/size/body region phenotype|homeostasis/metabolism phenotype|skeleton phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"95","HGNC:10763","MGI:1935121","Viable","InsuffData/NoData","0.173411534","Non-essential","Viable","hematopoietic system phenotype|homeostasis/metabolism phenotype|immune system phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"96","HGNC:10782","MGI:1916457","Lethal","Lethal_E9.5","-0.972258914","Essential","Lethal","mortality/aging","-","-","CL","CL"
"97","HGNC:10784","MGI:1919443","Viable","InsuffData/NoData","-0.200563842","Non-essential","Viable","skeleton phenotype","-","Viable_phenotype","VP","VP"
"98","HGNC:10786","MGI:1890577","Subviable","InsuffData/NoData","-0.220244828","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"99","HGNC:10789","MGI:1926232","Lethal","InsuffData/NoData","-1.237962468","Essential","Lethal","mortality/aging","-","-","CL","CL"
"100","HGNC:10817","MGI:1261415","Lethal","InsuffData/NoData","-0.212323509","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"101","HGNC:10818","MGI:1350341","Viable","InsuffData/NoData","-0.023986668","Non-essential","Viable","limbs/digits/tail phenotype|skeleton phenotype|behavior/neurological phenotype|homeostasis/metabolism phenotype|growth/size/body region phenotype","-","Viable_phenotype","VP","VP"
"102","HGNC:10819","MGI:1098703","Viable","InsuffData/NoData","-0.124085032","Non-essential","Viable","homeostasis/metabolism phenotype","-","Viable_phenotype","VP","VP"
"103","HGNC:1082","MGI:109328","Lethal","InsuffData/NoData","-0.436388738","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"104","HGNC:10825","MGI:1346349","Viable","InsuffData/NoData","0.055066795","Non-essential","Viable","skeleton phenotype|limbs/digits/tail phenotype","-","Viable_phenotype","VP","VP"
"105","HGNC:10826","MGI:2138297","Viable","InsuffData/NoData","0.021082422","Non-essential","Viable","hematopoietic system phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"106","HGNC:1083","MGI:109327","Viable","InsuffData/NoData","-0.149491214","Non-essential","Viable","adipose tissue phenotype|limbs/digits/tail phenotype|skeleton phenotype|behavior/neurological phenotype|homeostasis/metabolism phenotype|hematopoietic system phenotype|growth/size/body region phenotype|craniofacial phenotype","-","Viable_phenotype","VP","VP"
"107","HGNC:10831","MGI:700009","Viable","InsuffData/NoData","0.064554416","Non-essential","Viable","growth/size/body region phenotype|skeleton phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"108","HGNC:10848","MGI:98297","Lethal","InsuffData/NoData","0.056670754","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"109","HGNC:10850","MGI:98299","Viable","InsuffData/NoData","-0.130657347","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"110","HGNC:10861","MGI:2445190","Viable","InsuffData/NoData","-0.146234763","Non-essential","Viable","skeleton phenotype","-","Viable_phenotype","VP","VP"
"111","HGNC:1087","MGI:1858494","Viable","InsuffData/NoData","-0.056598112","Non-essential","Viable","behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"112","HGNC:10880","MGI:98301","Viable","InsuffData/NoData","-0.099195991","Non-essential","Viable","homeostasis/metabolism phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"113","HGNC:10885","MGI:107576","Viable","InsuffData/NoData","-0.181369747","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"114","HGNC:10886","MGI:1927664","Viable","InsuffData/NoData","-0.094123774","Non-essential","Viable","skeleton phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"115","HGNC:10894","MGI:1351645","Lethal","InsuffData/NoData","-0.982154604","Essential","Lethal","mortality/aging","-","-","CL","CL"
"116","HGNC:10897","MGI:106203","Viable","InsuffData/NoData","0.063527475","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"117","HGNC:10898","MGI:1099835","Lethal","Lethal_E9.5","-0.193796817","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"118","HGNC:1090","MGI:104627","Subviable","Viable_E18.5","-0.033531827","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"119","HGNC:10901","MGI:1351663","Viable","InsuffData/NoData","-0.606133952","Essential","Viable","reproductive system phenotype","-","Viable_phenotype","VP.outlier","-"
"120","HGNC:10906","MGI:1201406","Viable","InsuffData/NoData","0.118271108","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"121","HGNC:10909","MGI:1315204","Lethal","Lethal_E12.5","0.019446907","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"122","HGNC:10923","MGI:1203732","Viable","InsuffData/NoData","-","-","Viable","homeostasis/metabolism phenotype","homeostasis/metabolism phenotype","Viable_phenotype","-","-"
"123","HGNC:10924","MGI:1933438","Viable","InsuffData/NoData","-0.237389789","Non-essential","Viable","hematopoietic system phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"124","HGNC:10925","MGI:2385183","Viable","InsuffData/NoData","-0.096562298","Non-essential","Viable","homeostasis/metabolism phenotype","-","Viable_phenotype","VP","VP"
"125","HGNC:10927","MGI:2144585","Viable","InsuffData/NoData","-0.060755657","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"126","HGNC:1093","MGI:1098242","Viable","InsuffData/NoData","0.048119752","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"127","HGNC:10931","MGI:2389216","Viable","InsuffData/NoData","0.079095472","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"128","HGNC:10939","MGI:105083","Viable","InsuffData/NoData","0.14483003","Non-essential","Viable","homeostasis/metabolism phenotype|adipose tissue phenotype","-","Viable_phenotype","VP","VP"
"129","HGNC:10941","MGI:99917","Viable","InsuffData/NoData","0.026843706","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"130","HGNC:10942","MGI:2135601","Viable","InsuffData/NoData","0.032712445","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"131","HGNC:10947","MGI:97851","Conflicting: Subviable | Viable","InsuffData/NoData","-0.190485884","-","Other","adipose tissue phenotype|vision/eye phenotype|mortality/aging|skeleton phenotype|behavior/neurological phenotype|homeostasis/metabolism phenotype|growth/size/body region phenotype|craniofacial phenotype","-","-","-","-"
"132","HGNC:1095","MGI:3045315","Viable","InsuffData/NoData","0.085831007","Non-essential","Viable","growth/size/body region phenotype|adipose tissue phenotype","-","Viable_phenotype","VP","VP"
"133","HGNC:10962","MGI:1351872","Viable","InsuffData/NoData","0.084099636","Non-essential","Viable","growth/size/body region phenotype","-","Viable_phenotype","VP","VP"
"134","HGNC:10968","MGI:1353479","Viable","InsuffData/NoData","-0.044023092","Non-essential","Viable","digestive/alimentary phenotype","-","Viable_phenotype","VP","VP"
"135","HGNC:10969","MGI:1329012","no_adult_VIA_data","Lethal_E9.5","-0.113706284","Non-essential","Lethal","-","-","-","DL","DL"
"136","HGNC:10972","MGI:1336187","Viable","InsuffData/NoData","-0.116839866","Non-essential","Viable","homeostasis/metabolism phenotype|skeleton phenotype","-","Viable_phenotype","VP","VP"
"137","HGNC:10978","MGI:2447362","Subviable","InsuffData/NoData","-0.001728882","Non-essential","Subviable","mortality/aging|homeostasis/metabolism phenotype","-","-","SV","SV"
"138","HGNC:10979","MGI:1345283","Lethal","Viable_E18.5","-0.257824554","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"139","HGNC:10980","MGI:1353497","Viable","InsuffData/NoData","-0.463098582","Essential","Viable","growth/size/body region phenotype|homeostasis/metabolism phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP.outlier","-"
"140","HGNC:10984","MGI:1330823","Viable","InsuffData/NoData","-","-","Viable","nervous system phenotype","-","Viable_phenotype","-","-"
"141","HGNC:10985","MGI:1342274","Lethal","InsuffData/NoData","-0.007901316","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"142","HGNC:10989","MGI:1353498","Lethal","Lethal_E9.5","-0.580207495","Essential","Lethal","mortality/aging","-","-","CL","CL"
"143","HGNC:10990","MGI:1353495","Viable","InsuffData/NoData","0.024842219","Non-essential","Viable","cardiovascular system phenotype|homeostasis/metabolism phenotype","-","Viable_phenotype","VP","VP"
"144","HGNC:11003","MGI:1927073","Viable","InsuffData/NoData","-0.035787458","Non-essential","Viable","cardiovascular system phenotype|adipose tissue phenotype|vision/eye phenotype|skeleton phenotype|behavior/neurological phenotype|nervous system phenotype|hematopoietic system phenotype|growth/size/body region phenotype","-","Viable_phenotype","VP","VP"
"145","HGNC:11006","MGI:1095438","Lethal","InsuffData/NoData","-0.029096361","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"146","HGNC:11010","MGI:1928369","Viable","InsuffData/NoData","-0.020144056","Non-essential","Viable","vision/eye phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"147","HGNC:11015","MGI:1345282","Viable","InsuffData/NoData","0.008829838","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"148","HGNC:11025","MGI:1195264","Viable","InsuffData/NoData","-0.022984812","Non-essential","Viable","hematopoietic system phenotype|renal/urinary system phenotype|immune system phenotype","-","Viable_phenotype","VP","VP"
"149","HGNC:1103","MGI:99495","Lethal","InsuffData/NoData","-0.41519722","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"150","HGNC:11037","MGI:2181411","Viable","InsuffData/NoData","-0.054373005","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"151","HGNC:11040","MGI:2149330","Viable","InsuffData/NoData","-0.141899487","Non-essential","Viable","vision/eye phenotype|skeleton phenotype|behavior/neurological phenotype|homeostasis/metabolism phenotype|nervous system phenotype","-","Viable_phenotype","VP","VP"
"152","HGNC:11041","MGI:2660847","Lethal","InsuffData/NoData","-0.037406559","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"153","HGNC:11048","MGI:1270850","Subviable","InsuffData/NoData","-0.074382583","Non-essential","Subviable","cardiovascular system phenotype|mortality/aging","-","-","SV","SV"
"154","HGNC:11049","MGI:94862","Viable","InsuffData/NoData","0.113336043","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"155","HGNC:1105","MGI:1891374","Viable","InsuffData/NoData","-0.064539589","Non-essential","Viable","reproductive system phenotype","-","Viable_phenotype","VP","VP"
"156","HGNC:11051","MGI:105090","Lethal","InsuffData/NoData","0.001297749","Non-essential","Lethal","mortality/aging","-","-","DL","DL"
"157","HGNC:11059","MGI:1347355","Viable","InsuffData/NoData","0.086773378","Non-essential","Viable","vision/eye phenotype|nervous system phenotype","-","Viable_phenotype","VP","VP"
"158","HGNC:11065","MGI:1337120","Subviable","Viable_E18.5","0.10602157","Non-essential","Subviable","mortality/aging","-","-","SV","SV"
"159","HGNC:11066","MGI:1355323","Viable","Viable_E18.5","-0.070729769","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"160","HGNC:11070","MGI:107976","Viable","InsuffData/NoData","0.031185649","Non-essential","Viable","homeostasis/metabolism phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"161","HGNC:11073","MGI:105064","Viable","InsuffData/NoData","-0.197433628","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"162","HGNC:11076","MGI:1890662","Viable","InsuffData/NoData","0.076574322","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"163","HGNC:11077","MGI:105074","Viable","InsuffData/NoData","-0.024581247","Non-essential","Viable","skeleton phenotype|behavior/neurological phenotype","-","Viable_phenotype","VP","VP"
"164","HGNC:11085","MGI:1315203","Viable","InsuffData/NoData","-0.012744542","Non-essential","Viable","-","-","Viable_nophenotype","VN","VN"
"165","HGNC:1109","MGI:1933174","Viable","InsuffData/NoData","-0.181759882","Non-essential","Viable","-","-","Viable_insufproc","Vinsuf","-"
"166","HGNC:11094","MGI:1096393","Subviable","InsuffData/NoData","-0.070095168","Non-essential","Subviable","hematopoietic system phenotype|mortality/aging|immune system phenotype","-","-","SV","SV"
